v.Code_pr|v.code
1007|1
1009|1
1015|1
1017|1
1051676|1
1056782|1
1078031|1
1078035|1
1078036|1
1103|1
1131050|1
1131051|1
1131052|1
1131053|1
1131054|1
1131055|1
1131056|1
1153|1
1159|1
1166648|1
1173|1
1176|1
1186582|1
1188|1
1197|1
1197706|1
1201050|1
1201051|1
1201052|1
122|1
1226764|1
123|1
1231|1
1239|1
1249|1
1259|1
1264002|1
1268|1
1269|1
1288290|1
1289|1
1314454|1
1320|1
1336014|1
1336028|1
1336030|1
1336031|1
1336032|1
1336033|1
1336034|1
1346918|1
1347218|1
1383|1
1462|1
1479|1
1485|1
1496|1
1504|1
1562|1
1612|1
1634|1
1754|1
1760|1
1776084|1
1795|1
1829|1
1836404|1
1839|1
1840|1
1841|1
1861|1
1873|1
1960|1
1968|1
2153|1
2169|1
2226|1
2237|1
2359228|1
2364|1
2387|1
2461|1
2568488|1
2636921|1
2643|1
2676771|1
2816|1
2840489|1
2840797|1
2866863|1
2870623|1
2871613|1
2871614|1
2872503|1
2874802|1
2876711|1
2876740|1
2877488|1
2877489|1
2877490|1
311|1
3134|1
3345|1
3371|1
3384|1
3397|1
3411|1
3422|1
3432|1
3443|1
3497|1
3573|1
3577|1
3584|1
3602|1
3626|1
3637|1
3638|1
3654|1
3656|1
3670|1
367697|1
3683|1
3688|1
3703|1
3711|1
371131|1
3712|1
3729|1
3755|1
3849|1
3870|1
3889|1
3890|1
3905|1
3907|1
3908|1
3909|1
3913|1
3926|1
3933|1
3937|1
3955|1
3962|1
3963|1
3969|1
3974|1
3975|1
3980|1
3984|1
3985|1
4004|1
4019|1
4020|1
4028|1
4033|1
4034|1
4039|1
404030|1
4044|1
4050|1
4055|1
4063|1
4067|1
4073|1
4077|1
4104|1
4113|1
4125|1
4137|1
4145|1
4154|1
4157|1
4165|1
4170|1
4172|1
4179|1
4181|1
4191|1
4247|1
4265|1
4275|1
4279|1
4285|1
4293|1
4299|1
4306|1
4313|1
4317|1
4326|1
4327|1
4337|1
4354|1
4357|1
4366|1
4380|1
445|1
4456|1
4493|1
4497|1
451132|1
4516|1
4522|1
4524|1
4538|1
4550|1
4558|1
4564|1
4565|1
4568|1
4578|1
4632|1
4657|1
4698|1
4723|1
4745|1
4753|1
4760|1
477619|1
4784|1
479|1
4809|1
4815|1
4824|1
4833|1
4834|1
4835|1
4836|1
48390|1
4869|1
4870|1
487980|1
487986|1
487987|1
487988|1
4902|1
4903|1
4931|1
494|1
5014|1
5039|1
5051|1
5052|1
5122|1
5143|1
5149|1
5164|1
5166|1
5176|1
5196|1
5245|1
5261|1
5272|1
5285|1
5371|1
5449|1
5504|1
5519|1
5541|1
5548|1
5551|1
5553|1
5558|1
5561|1
556513|1
556514|1
5572|1
5585|1
5589|1
5599|1
5652|1
5691|1
5702|1
5712|1
5724|1
5730|1
5735|1
5746|1
594|1
5954|1
5966|1
6168|1
6214|1
6286|1
63147|1
6352|1
6353|1
6363|1
6400|1
6402|1
6411|1
6412|1
6416|1
6425|1
6461|1
6490|1
6619|1
6629|1
6639|1
6756|1
6771|1
6783|1
6796|1
68|1
6806|1
6811|1
6816|1
6845|1
6853|1
6863|1
6868|1
6873|1
6884|1
6892|1
6894|1
690|1
6905|1
6908|1
6909|1
6915|1
6925|1
6932|1
7031|1
7055|1
7093|1
7114|1
7117|1
7123|1
7126|1
7136|1
7139|1
71446|1
7152|1
7165|1
7177|1
7188|1
7190|1
7192|1
7204|1
7235|1
7257|1
7259|1
7262|1
7265|1
7266|1
7269|1
7286|1
7291|1
7296|1
7309|1
732925|1
732926|1
733|1
735|1
7350|1
7498|1
7501|1
7516|1
7535|1
7550|1
7574|1
7592|1
7599|1
765|1
765907|1
766139|1
7740|1
7750|1
7752|1
7760|1
7770|1
7781|1
7799|1
7810|1
7811|1
797|1
846|1
878|1
887|1
889|1
895329|1
921243|1
925|1
99|1
995|1
10005|2
10006|2
10007|2
10008|2
10009|2
10010|2
10011|2
10012|2
10013|2
10014|2
10015|2
10016|2
10017|2
10018|2
10019|2
10020|2
10021|2
10022|2
10023|2
10024|2
10025|2
10026|2
10027|2
10074|2
10075|2
10076|2
10077|2
10078|2
10079|2
10081|2
10082|2
10083|2
10084|2
10085|2
10089|2
10090|2
10104|2
10105|2
10106|2
10107|2
10108|2
10109|2
10110|2
10111|2
10112|2
10113|2
10115|2
10116|2
10117|2
10118|2
10119|2
10120|2
10121|2
10122|2
10123|2
10124|2
10125|2
10126|2
10127|2
10129|2
10130|2
10133|2
10134|2
10135|2
10136|2
10137|2
10138|2
10139|2
10140|2
10141|2
10142|2
10143|2
10144|2
10145|2
10168|2
10169|2
10170|2
10171|2
10172|2
10275|2
10276|2
10279|2
10280|2
10282|2
10283|2
10286|2
10288|2
10301|2
10310|2
1057331|2
1057332|2
1057333|2
1057334|2
1057335|2
1057336|2
1057337|2
1057338|2
1057339|2
1057340|2
1057341|2
1057342|2
1057343|2
1057344|2
1057345|2
1057346|2
1057347|2
1057348|2
1057349|2
1057350|2
1057351|2
1057352|2
1057353|2
1057354|2
1057355|2
10575|2
10576|2
10578|2
1059718|2
1059719|2
1059720|2
1059721|2
1059722|2
1059723|2
1059724|2
10598|2
10599|2
10601|2
10604|2
10605|2
10606|2
10607|2
10608|2
10609|2
10610|2
10611|2
10612|2
10613|2
10614|2
10616|2
10617|2
10618|2
10619|2
10646|2
10647|2
10648|2
10649|2
10651|2
10652|2
10653|2
10654|2
10655|2
10656|2
10658|2
10659|2
10660|2
10661|2
10662|2
10663|2
10664|2
10665|2
1067364|2
1067555|2
1067556|2
1067557|2
1067558|2
1067559|2
1067560|2
10679|2
10680|2
10716|2
10729|2
10735|2
10736|2
10751|2
10752|2
10765|2
10766|2
10769|2
10770|2
10771|2
10772|2
10773|2
1077852|2
1077853|2
1077854|2
1077855|2
1077856|2
1077862|2
1080588|2
1080658|2
1080659|2
1080660|2
1080661|2
1080662|2
1080663|2
1080664|2
1080665|2
1080666|2
1080667|2
1080668|2
1080669|2
1080670|2
1080671|2
1080672|2
1080673|2
1080674|2
1080675|2
1080676|2
1080677|2
1080678|2
1080679|2
1080680|2
1082381|2
1082382|2
1082383|2
1082384|2
1082385|2
1082386|2
1082387|2
1082388|2
1082389|2
1082390|2
1082391|2
1082392|2
1082393|2
1082394|2
1082395|2
1082396|2
1082400|2
1082401|2
1082402|2
1082403|2
1082404|2
1082405|2
1082406|2
1082407|2
1082408|2
10828|2
10829|2
10830|2
10831|2
10832|2
10833|2
1083333|2
1083334|2
1083335|2
10834|2
10835|2
10836|2
10837|2
10838|2
10839|2
10840|2
10841|2
10842|2
10843|2
10844|2
10845|2
10846|2
10847|2
10848|2
10849|2
10850|2
10851|2
10852|2
10853|2
10854|2
10855|2
